relation,count,distinct_heads,distinct_tails,distinct_pairs,specificity
yêu cầu chứng chỉ,15,6,11,15,1.0
gửi lời cảm ơn tới,15,8,12,13,1.15
nêu rõ,15,9,14,15,1.0
được trình bày trong,15,15,13,15,1.0
có mức học phí,15,4,13,15,1.0
được ưu tiên xét tuyển vào,15,15,3,15,1.0
truy cập,15,10,15,15,1.0
đồng tác giả về,15,15,4,15,1.0
ghi rõ,15,6,15,15,1.0
thuộc phương thức,15,4,8,9,1.67
đem lại,14,13,13,14,1.0
thông tin về,14,12,14,14,1.0
được đặt trong,14,13,14,14,1.0
có cột,14,2,14,14,1.0
hoạt động trong lĩnh vực,14,12,13,14,1.0
là một,14,14,13,14,1.0
xảy ra tại,14,13,13,14,1.0
đạt danh hiệu,14,9,12,12,1.17
được đựng trong,14,10,6,14,1.0
phát huy,14,11,14,14,1.0
được làm từ,14,7,5,9,1.56
chỉ ra,14,14,13,14,1.0
được giới thiệu bởi,14,14,13,14,1.0
có vai trò,14,14,14,14,1.0
đưa tin,14,13,12,14,1.0
là ngành học,14,4,8,8,1.75
có nhiệm vụ,14,10,13,14,1.0
thuộc đợt,14,9,11,13,1.08
diễn ra trong năm học,14,12,8,13,1.08
đam mê,14,12,7,13,1.08
cùng,14,14,13,14,1.0
được tạo từ,14,10,12,13,1.08
khiến,14,14,13,14,1.0
đăng bài vào,14,3,14,14,1.0
được nghiên cứu trong,14,13,10,13,1.08
làm tại,14,11,12,14,1.0
được áp dụng theo,14,13,13,14,1.0
quy định cho,14,9,12,12,1.17
thuộc danh mục,14,11,7,13,1.08
định hướng theo,14,8,14,14,1.0
có tính,14,12,14,14,1.0
loại trừ,14,7,12,14,1.0
được so sánh với,14,11,14,14,1.0
đăng vào ngày,14,6,14,14,1.0
trao bằng cho,14,5,8,14,1.0
được tạo bởi,14,12,13,14,1.0
được gán cho,14,13,11,14,1.0
mã sinh viên,14,14,14,14,1.0
được đề cập,14,14,12,14,1.0
được công nhận bởi,14,11,12,14,1.0
nhận thấy,14,9,14,14,1.0
thuộc đối tượng,14,13,10,14,1.0
được đăng ký,14,10,14,14,1.0
có trường,14,10,14,14,1.0
tính theo,14,11,13,14,1.0
được xem xét,14,13,12,13,1.08
cung cấp số điện thoại,14,10,14,14,1.0
tuyển theo,14,11,9,14,1.0
kính đề nghị,14,6,14,14,1.0
sản xuất,14,8,13,14,1.0
thay đổi giảng đường,14,7,8,14,1.0
có lớp,14,2,14,14,1.0
là trường,14,14,9,14,1.0
được đánh giá về,14,6,14,14,1.0
học TS,14,14,10,14,1.0
được quản lý bởi,13,13,13,13,1.0
theo yêu cầu của,13,11,9,13,1.0
thuộc chuyên đề,13,13,5,13,1.0
chuyên đề,13,8,11,13,1.0
gắn kết,13,10,13,13,1.0
theo đuổi,13,11,12,12,1.08
tuyển dụng tại,13,2,3,3,4.33
là công ty,13,9,10,12,1.08
thi,13,13,3,13,1.0
tuân thủ,13,9,12,13,1.0
được thực hiện qua,13,12,12,13,1.0
bị ảnh hưởng bởi,13,13,9,13,1.0
có thêm,13,11,13,13,1.0
hợp tác trong,13,10,10,13,1.0
đăng trên,13,13,11,13,1.0
chưa có,13,8,12,12,1.08
ngày ban hành,13,13,13,13,1.0
làm trong,13,12,12,13,1.0
được xây dựng bởi,13,11,11,13,1.0
được đào tạo,13,10,13,13,1.0
đăng trong,13,10,11,13,1.0
tích lũy,13,9,9,13,1.0
được xem tại,13,12,11,13,1.0
định hướng cho,13,11,12,13,1.0
bao gồm môn,13,5,6,13,1.0
đồng xuất hiện với,13,11,9,13,1.0
có điểm,13,6,10,12,1.08
có thời lượng,13,13,12,13,1.0
trước ngày,13,12,11,13,1.0
hợp tác về,13,6,9,13,1.0
có giải,13,7,10,13,1.0
tăng lên,13,13,12,13,1.0
đáp ứng yêu cầu,13,11,12,13,1.0
được tổ chức cho,13,10,13,13,1.0
tham gia với vai trò,13,13,11,13,1.0
là Chủ tịch,13,13,13,13,1.0
dựa vào,13,11,12,13,1.0
được trao vào,13,12,13,13,1.0
gửi lời chúc mừng,13,9,11,12,1.08
diễn ra từ ngày,13,13,12,13,1.0
gửi lời cảm ơn,13,9,11,12,1.08
ví dụ,13,9,13,13,1.0
đào tạo theo,13,12,13,13,1.0
lịch học,13,9,12,13,1.0
liên hệ qua,13,7,13,13,1.0
vận động,13,3,3,8,1.62
cần đảm bảo,13,3,5,6,2.17
có trang,13,13,12,13,1.0
tham dự với vai trò,13,12,13,13,1.0
được phục vụ bởi,13,10,11,13,1.0
giữ vai trò tại,13,13,12,13,1.0
có tính cách,13,3,8,13,1.0
coauthored,13,13,7,13,1.0
viết tắt cho,13,11,11,11,1.18
kết quả,13,13,4,13,1.0
là học sinh,13,11,7,13,1.0
có thẻ,12,6,12,12,1.0
được nêu là,12,11,12,12,1.0
thực hiện nhiệm vụ,12,7,11,12,1.0
hoàn thiện,12,11,12,12,1.0
viết tắt là,12,12,10,12,1.0
đi đầu trong,12,7,7,12,1.0
có thí sinh,12,7,12,12,1.0
được thành lập theo,12,10,9,10,1.2
lắng nghe,12,8,10,12,1.0
là lĩnh vực,12,8,11,12,1.0
được nộp dưới dạng,12,11,11,12,1.0
có mặt ngoài ghi,12,5,11,12,1.0
giữ,12,10,7,11,1.09
có công văn,12,4,12,12,1.0
tổ chức bởi,12,10,9,12,1.0
theo quy định tại,12,12,11,12,1.0
thực hiện cho,12,9,10,11,1.09
hỗ trợ cho,12,11,11,12,1.0
phải hoàn thành,12,7,8,10,1.2
cải thiện,12,12,12,12,1.0
tri ân,12,9,9,11,1.09
góp phần nâng cao,12,9,9,12,1.0
cần đáp ứng,12,11,11,12,1.0
được quản lý,12,10,10,12,1.0
đạt học bổng,12,7,10,12,1.0
có học phần,12,7,10,11,1.09
được xét trong,12,11,11,12,1.0
phải thực hiện,12,11,11,12,1.0
tốt nghiệp vào,12,12,11,12,1.0
được công bố cho,12,6,6,8,1.5
nhắc đến,12,9,11,12,1.0
làm việc,12,10,12,12,1.0
đại diện bởi,12,9,10,11,1.09
áp dụng khi,12,8,11,12,1.0
được quy định tại,12,11,12,12,1.0
tham khảo,12,9,11,12,1.0
dạy trong,12,12,12,12,1.0
đạt hạng,12,8,11,12,1.0
được nộp cho,12,11,8,11,1.09
được dạy,12,5,10,12,1.0
có số báo danh,12,1,12,12,1.0
phê duyệt,12,10,11,11,1.09
nộp hồ sơ,12,7,11,12,1.0
được thể hiện trong,12,12,9,12,1.0
được nhắc đến cùng,12,11,11,12,1.0
xảy ra trong,12,9,12,12,1.0
giới thiệu về,12,8,12,12,1.0
tư vấn,12,11,11,12,1.0
thành lập vào,12,9,8,9,1.33
cấm,12,4,12,12,1.0
có chứng chỉ,12,4,10,10,1.2
hiển thị,12,11,11,11,1.09
được thực hiện thông qua,12,9,12,12,1.0
tổ chức cho,12,10,12,12,1.0
belongs to,12,6,12,12,1.0
được ghi nhận bởi,12,11,12,12,1.0
được yêu cầu đảm bảo,12,3,8,12,1.0
xét tuyển theo,12,11,10,12,1.0
điểm sàn,12,12,7,12,1.0
thuộc tỉnh/thành phố,12,12,8,12,1.0
là một trong,11,10,11,11,1.0
ký kết thỏa thuận hợp tác với,11,6,9,11,1.0
có khoa,11,4,10,10,1.1
là đơn vị,11,6,8,8,1.38
được đánh giá cao bởi,11,11,9,11,1.0
được căn cứ bởi,11,10,8,11,1.0
yêu cầu trình độ,11,10,9,11,1.0
có nơi sinh,11,11,7,11,1.0
được quan tâm,11,9,10,11,1.0
là thời điểm,11,10,11,11,1.0
thay đổi,11,10,9,11,1.0
tiến tới,11,8,9,9,1.22
so với,11,11,11,11,1.0
được định hướng bởi,11,9,10,11,1.0
tối thiểu,11,10,11,11,1.0
thông báo chương trình,11,11,11,11,1.0
nhận được thông báo,11,5,11,11,1.0
phát biểu khai mạc,11,10,9,11,1.0
tạo động lực,11,10,11,11,1.0
hình thức thi,11,7,6,11,1.0
được ghi nhận trong,11,11,10,11,1.0
có ngày ban hành,11,11,11,11,1.0
nhằm phục vụ,11,9,11,11,1.0
tiếp tục,11,9,10,10,1.1
tài trợ cho,11,9,10,11,1.0
chuyển giao,11,9,10,11,1.0
đứng đầu,11,10,8,10,1.1
có tên viết tắt,11,8,9,9,1.22
thu thập,11,8,11,11,1.0
bao gồm học phần,11,5,11,11,1.0
chịu ảnh hưởng bởi,11,7,11,11,1.0
thuộc môn học,11,11,11,11,1.0
được liệt kê cùng với,11,11,9,11,1.0
được học trong,11,11,9,11,1.0
chủ yếu là,11,6,9,10,1.1
nhằm mục tiêu,11,10,11,11,1.0
có thể đăng ký,11,8,10,11,1.0
giảng viên hướng dẫn,11,11,8,11,1.0
được nhắc đến với,11,8,9,11,1.0
thực hiện bởi,11,8,11,11,1.0
cho thấy,11,11,11,11,1.0
làm chủ,11,6,7,9,1.22
theo hướng,11,9,10,11,1.0
là địa điểm,11,11,11,11,1.0
xếp thứ,11,9,11,11,1.0
được mở tại,11,10,7,11,1.0
tên môn,11,11,11,11,1.0
được đặt tên,11,11,11,11,1.0
thời gian học,11,10,6,10,1.1
đựng trong,11,8,5,11,1.0
khen thưởng,11,8,11,11,1.0
tổ chức về,11,3,8,11,1.0
được áp dụng tại,11,11,8,11,1.0
đặc trưng bởi,11,7,11,11,1.0
là thí sinh,11,11,9,11,1.0
mã số phiếu,11,11,11,11,1.0
kết quả xét tuyển,11,11,2,11,1.0
giới tính là,11,11,2,11,1.0
được ghi trong,11,11,10,11,1.0
có đề tài,11,10,11,11,1.0
thuộc diện,11,6,10,10,1.1
cấp học bổng cho,11,8,10,11,1.0
cấp học bổng,11,10,11,11,1.0
gửi lời cảm ơn đến,11,7,10,10,1.1
được tuyển dụng bởi,11,11,7,11,1.0
đăng tin,11,8,10,11,1.0
là chủ đề của,11,10,11,11,1.0
là viết tắt của,11,11,11,11,1.0
cung cấp email,11,8,9,9,1.22
khuyến nghị,11,7,11,11,1.0
có sự góp mặt của,11,7,11,11,1.0
chia sẻ tại,11,10,9,10,1.1
được công bố theo,11,10,11,11,1.0
có mặt trong,11,5,9,11,1.0
được ghi nhận cho,11,7,8,10,1.1
để xét,11,5,5,9,1.22
khóa,11,11,8,11,1.0
đạt chuẩn,11,11,9,11,1.0
đảm bảo trật tự,11,4,4,10,1.1
ở tại,11,10,8,11,1.0
muốn,11,7,11,11,1.0
được đào tạo trong,11,10,6,10,1.1
có mức điểm,11,6,10,11,1.0
có liên kết,11,10,10,11,1.0
sống tại,11,11,6,11,1.0
đang theo học các ngành,11,1,11,11,1.0
được xét theo ngành,11,2,11,11,1.0
có điểm chuẩn,11,11,7,11,1.0
là đơn vị hợp tác,11,11,2,11,1.0
phát biểu về,10,10,10,10,1.0
tuyển,10,8,9,10,1.0
sở hữu,10,7,10,10,1.0
được kiểm định theo,10,5,6,8,1.25
được mô tả,10,9,10,10,1.0
được đào tạo tại,10,10,9,10,1.0
là mã,10,10,10,10,1.0
nhằm vào,10,7,9,10,1.0
được chuyển đến,10,7,5,10,1.0
được ký bởi,10,8,9,10,1.0
được xuất bản trong,10,10,10,10,1.0
có chức danh,10,4,5,6,1.67
có sứ mệnh,10,7,10,10,1.0
thuộc loại,10,10,7,10,1.0
là đối tượng của,10,7,8,10,1.0
nhận định,10,9,10,10,1.0
nghiên cứu và phát triển,10,5,7,10,1.0
gặp gỡ,10,8,10,10,1.0
đồng tổ chức,10,8,9,10,1.0
được ghi,10,9,10,10,1.0
được phép,10,8,8,10,1.0
áp dụng năm học,10,8,5,9,1.11
thuộc nhiệm kỳ,10,10,8,10,1.0
sinh năm,10,10,9,10,1.0
mở,10,6,8,9,1.11
được chuẩn bị,10,8,10,10,1.0
đồng hành với,10,9,10,10,1.0
tạo động lực cho,10,10,10,10,1.0
có năm,10,9,7,10,1.0
được chế tạo từ,10,5,3,6,1.67
ảnh hưởng tới,10,8,9,9,1.11
có các hướng nghiên cứu,10,1,10,10,1.0
khai thác,10,8,10,10,1.0
liên kết đào tạo với,10,4,6,8,1.25
vận hành,10,9,10,10,1.0
nộp hồ sơ tại,10,7,6,9,1.11
được tính đến,10,10,8,10,1.0
có tên tiếng Việt,10,10,7,10,1.0
có thể trở thành,10,6,9,10,1.0
xuất hiện,10,8,7,8,1.25
được xây dựng,10,10,10,10,1.0
được mô tả bởi,10,8,10,10,1.0
được mã hóa bởi,10,10,10,10,1.0
giải thích,10,7,10,10,1.0
có yêu cầu,10,9,8,10,1.0
được tra cứu tại,10,6,7,8,1.25
tồn tại tại,10,3,10,10,1.0
phải đảm bảo,10,6,9,10,1.0
tổ chức lớp,10,3,8,10,1.0
tham gia học,10,10,6,10,1.0
xảy ra,10,10,10,10,1.0
giúp đỡ,10,10,10,10,1.0
nuôi dưỡng,10,9,10,10,1.0
chấp nhận,10,5,10,10,1.0
chuyên mục,10,8,7,9,1.11
được hướng dẫn,10,7,8,10,1.0
được nghiên cứu,10,10,10,10,1.0
nhằm giúp,10,9,9,9,1.11
được tham gia bởi,10,10,7,10,1.0
được viết bằng,10,8,7,10,1.0
tên môn tiếng Anh,10,10,10,10,1.0
không được trả lại,10,9,8,10,1.0
gồm thành viên,10,3,10,10,1.0
được nghiên cứu bởi,10,10,9,10,1.0
được xếp hạng bởi,10,7,5,9,1.11
được xây dựng dựa trên,10,6,9,10,1.0
được xét tuyển thẳng vào,10,10,7,10,1.0
có nghĩa vụ,10,9,9,10,1.0
kính gửi,10,2,5,5,2.0
xét chọn,10,9,9,10,1.0
chịu trách nhiệm thi hành,10,7,3,10,1.0
có chương trình đào tạo,10,7,10,10,1.0
thuộc khóa học,10,10,4,10,1.0
có tỷ lệ,10,8,10,10,1.0
thông tin,10,10,10,10,1.0
so sánh với,10,10,10,10,1.0
thu,10,9,9,10,1.0
đứng thứ,10,9,7,10,1.0
được đảm bảo bởi,10,9,10,10,1.0
cho rằng,10,9,10,10,1.0
diễn ra cho,10,10,9,10,1.0
có mã xét tuyển,10,10,10,10,1.0
được nhấn mạnh trong,10,10,8,10,1.0
được xét tuyển,10,10,6,10,1.0
được xét cho,10,6,9,9,1.11
có địa chỉ tại,10,7,9,9,1.11
được hỏi về,10,9,10,10,1.0
cập nhật đến,10,10,4,10,1.0
đồng thời là,10,8,10,10,1.0
thứ,10,9,9,10,1.0
hỗ trợ quản lý,10,3,3,4,2.5
phải,10,8,10,10,1.0
tuyển sinh chuyên ngành,10,5,9,9,1.11
có chỉ tiêu xét tuyển thẳng,10,10,4,10,1.0
điểm,10,10,10,10,1.0
bao gồm giai đoạn,10,2,10,10,1.0
bảo vệ thành công,10,7,5,9,1.11
là doanh nghiệp,10,10,2,10,1.0
gồm môn,10,4,5,10,1.0
có điểm SAT,10,10,4,10,1.0
tổ chức đào tạo,9,6,9,9,1.0
tham dự bởi,9,5,9,9,1.0
thống nhất,9,8,8,9,1.0
được hình thành từ,9,7,9,9,1.0
kế thừa,9,7,9,9,1.0
có kinh nghiệm,9,8,9,9,1.0
được ứng dụng vào,9,7,9,9,1.0
đáp ứng nhu cầu,9,8,8,8,1.12
có thể thực hiện,9,7,6,9,1.0
có cơ hội tham gia,9,5,8,9,1.0
được đăng vào ngày,9,7,9,9,1.0
thuộc quốc gia,9,9,8,9,1.0
nhằm cung cấp,9,9,9,9,1.0
xảy ra vào,9,9,9,9,1.0
đo,9,8,9,9,1.0
được nộp theo,9,5,7,7,1.29
thảo luận,9,6,9,9,1.0
công nhận đạt tiêu chuẩn,9,3,5,7,1.29
diễn ra trong năm,9,7,3,7,1.29
chủ đề,9,5,9,9,1.0
được thi,9,5,5,9,1.0
được nêu cùng,9,9,9,9,1.0
được xác định trong,9,7,9,9,1.0
được căn cứ theo,9,8,8,9,1.0
ban hành vào ngày,9,8,9,9,1.0
được phân loại theo,9,7,8,9,1.0
đã tốt nghiệp,9,8,7,9,1.0
được hoàn trả cho,9,5,3,6,1.5
tham chiếu,9,6,9,9,1.0
mang tính,9,7,8,8,1.12
được khuyến khích,9,6,8,8,1.12
xuất bản vào,9,3,9,9,1.0
có tổng số,9,8,8,8,1.12
phải là,9,8,7,8,1.12
được xác định là,9,9,9,9,1.0
tương đương với,9,8,9,9,1.0
có uy tín,9,7,9,9,1.0
hiểu rõ,9,4,9,9,1.0
ban hành quyết định,9,8,9,9,1.0
mang,9,9,8,9,1.0
để,9,9,9,9,1.0
nắm vững,9,5,7,8,1.12
được truy cập qua,9,6,6,7,1.29
trân trọng gửi,9,6,8,8,1.12
thuộc kỳ,9,8,8,8,1.12
ứng dụng vào,9,4,9,9,1.0
ngày đăng,9,6,9,9,1.0
tham gia nghiên cứu,9,6,8,9,1.0
nhằm để,9,7,9,9,1.0
được gắn với môn,9,9,9,9,1.0
được thiết kế bởi,9,9,8,9,1.0
được kết hợp với,9,9,9,9,1.0
cải tiến,9,8,8,9,1.0
chương trình,9,9,9,9,1.0
thực hiện trên,9,8,9,9,1.0
được học như,9,9,8,9,1.0
dạy về,9,8,9,9,1.0
được yêu cầu trong,9,8,5,9,1.0
ra,9,6,9,9,1.0
được ban hành,9,9,9,9,1.0
đang là,9,9,5,9,1.0
được lấy từ,9,7,9,9,1.0
diễn ra đợt,9,8,7,9,1.0
được sắp xếp theo,9,8,8,8,1.12
được công nhận là,9,8,7,9,1.0
nghiên cứu tại,9,6,8,8,1.12
đồng ý,9,9,8,9,1.0
liệt kê chuyên ngành,9,1,9,9,1.0
huy động,9,4,9,9,1.0
có nhiều,9,6,9,9,1.0
có đơn vị,9,4,9,9,1.0
được dựa trên,9,8,8,9,1.0
trao giải cho,9,5,3,9,1.0
được giới thiệu qua,9,9,7,9,1.0
cũng có tên,9,9,9,9,1.0
lên lịch,9,2,4,6,1.5
được hoàn thiện,9,9,9,9,1.0
được thành lập bởi,9,7,5,7,1.29
có thời hạn,9,9,8,9,1.0
được giao,9,7,8,9,1.0
do tổ chức bởi,9,8,8,9,1.0
được bởi,9,6,4,8,1.12
là nguồn,9,6,7,9,1.0
tập trung tại,9,7,5,9,1.0
thực hiện với,9,7,9,9,1.0
ngành học,9,9,6,9,1.0
điểm xét tuyển thẳng,9,8,8,8,1.12
có quy định,9,8,9,9,1.0
là mốc,9,9,9,9,1.0
cần nộp,9,8,8,9,1.0
được xếp,9,9,8,9,1.0
được ký ngày,9,7,8,8,1.12
giao,9,9,9,9,1.0
có đặc điểm,9,6,9,9,1.0
là sinh viên,9,9,8,9,1.0
kêu gọi,9,7,9,9,1.0
được cải thiện,9,8,9,9,1.0
tác động tới,9,7,9,9,1.0
làm tăng,9,7,8,9,1.0
tối ưu hóa,9,4,4,6,1.5
được triển khai bởi,9,9,9,9,1.0
theo thứ tự giải,9,3,7,9,1.0
nhằm nắm bắt,9,4,9,9,1.0
đối tượng,9,9,9,9,1.0
là chuyên ngành của,9,9,4,9,1.0
có số tài khoản,9,6,4,7,1.29
trúng tuyển,9,8,8,9,1.0
có hạng mục,9,6,9,9,1.0
loại trừ học phần,9,3,8,9,1.0
tạo nên,9,8,7,8,1.12
hưởng ứng,9,7,9,9,1.0
được giữ chân bởi,9,3,4,5,1.8
được chúc mừng bởi,9,5,9,9,1.0
được ủng hộ bởi,9,2,8,8,1.12
đạt cơ cấu ngành nghề,9,1,9,9,1.0
có cơ sở tại,9,4,9,9,1.0
nắm bắt,9,7,9,9,1.0
động viên,9,7,8,9,1.0
là chương trình,9,9,9,9,1.0
học theo,9,9,8,9,1.0
có đối tượng tham gia,9,6,7,9,1.0
có ví dụ,9,8,9,9,1.0
mặc,9,7,8,9,1.0
tra cứu,9,4,6,7,1.29
được vận động để,9,5,5,9,1.0
có thông tin về,9,4,9,9,1.0
kiểm soát,9,2,7,7,1.29
mã học sinh,9,9,9,9,1.0
trang bị cho,9,4,7,9,1.0
bao gồm thiết bị,9,1,6,6,1.5
được lập chỉ mục bởi,9,6,2,9,1.0
được tính từ,9,9,8,9,1.0
làm việc ở,9,2,9,9,1.0
tuyển sinh bằng,9,2,9,9,1.0
có quyết định,9,9,6,9,1.0
khoảng,8,7,7,7,1.14
thuộc kỳ thi,8,8,8,8,1.0
được bổ sung,8,7,8,8,1.0
được giảng dạy bằng,8,8,2,8,1.0
còn được gọi là,8,7,8,8,1.0
diễn ra trong giai đoạn,8,8,8,8,1.0
dùng trong,8,5,8,8,1.0
theo tiêu chuẩn,8,8,4,8,1.0
đổi mới,8,7,7,8,1.0
được trao bởi,8,7,8,8,1.0
chuẩn bị cho,8,8,8,8,1.0
được đánh giá tại,8,8,7,8,1.0
thuộc trình độ,8,5,6,7,1.14
quay đầu tại,8,7,7,7,1.14
bầu ra,8,6,7,7,1.14
đào tạo về,8,3,6,8,1.0
có phản biện,8,3,8,8,1.0
am hiểu,8,3,5,7,1.14
nhắm đến,8,7,8,8,1.0
sử dụng vật liệu,8,7,4,8,1.0
có ý nghĩa,8,7,8,8,1.0
trình bày về,8,7,8,8,1.0
thăm,8,8,7,8,1.0
không vượt quá,8,8,8,8,1.0
được thực hiện để,8,6,7,7,1.14
thuộc phạm vi,8,7,8,8,1.0
giao trách nhiệm cho,8,2,5,8,1.0
khám phá,8,7,8,8,1.0
có đợt,8,8,8,8,1.0
nhằm đánh giá,8,7,7,8,1.0
đầu tư vào,8,4,6,7,1.14
được ban hành vào ngày,8,8,8,8,1.0
điều chỉnh theo,8,7,8,8,1.0
được trình bày bằng,8,8,8,8,1.0
có kỹ năng,8,5,7,8,1.0
thực hiện bằng,8,7,8,8,1.0
đạt mức,8,5,6,7,1.14
được trình bày,8,8,8,8,1.0
được liên kết tới,8,6,7,8,1.0
trang bị kiến thức về,8,5,6,8,1.0
mang lại lợi ích cho,8,4,6,8,1.0
phù hợp,8,8,8,8,1.0
được dạy trong,8,8,8,8,1.0
tóm tắt,8,6,7,8,1.0
ban hành theo,8,7,8,8,1.0
mục đích,8,6,8,8,1.0
đã hoàn thành,8,6,8,8,1.0
tối thiểu là,8,7,7,7,1.14
được ưu tiên theo,8,8,7,8,1.0
trao đổi với,8,7,8,8,1.0
lấy từ,8,4,8,8,1.0
thuộc bậc,8,6,6,8,1.0
thảo luận về,8,6,8,8,1.0
yêu cầu tối thiểu,8,8,8,8,1.0
quan tâm tới,8,8,5,8,1.0
có cơ hội nhận,8,7,5,7,1.14
giao lưu với,8,6,6,7,1.14
được giới thiệu tại,8,8,8,8,1.0
chuyên sản xuất,8,5,8,8,1.0
tiên phong trong,8,7,7,8,1.0
tổ chức chương trình,8,8,7,8,1.0
được cung cấp tại,8,8,8,8,1.0
thẩm định,8,7,8,8,1.0
được tổ chức vào ngày,8,7,7,7,1.14
nhằm phát triển,8,7,8,8,1.0
bao gồm kỹ năng,8,2,4,8,1.0
được xây dựng theo,8,7,8,8,1.0
có thể đảm đương,8,1,8,8,1.0
truy cập tại,8,8,8,8,1.0
được gửi đến,8,8,7,8,1.0
được đánh giá qua,8,7,7,8,1.0
thuộc trường,8,8,5,8,1.0
gây,8,7,8,8,1.0
tận dụng,8,8,6,8,1.0
gửi lời chúc mừng đến,8,5,8,8,1.0
được đánh giá thông qua,8,6,5,7,1.14
áp dụng năm,8,8,7,8,1.0
giúp giảm,8,7,8,8,1.0
xuất bản bởi,8,8,8,8,1.0
đăng ký chuyên ngành,8,8,5,8,1.0
được nộp trong,8,8,8,8,1.0
số điện thoại,8,7,8,8,1.0
được xếp loại,8,8,5,8,1.0
áp dụng tại,8,8,8,8,1.0
đồng tác giả của,8,8,4,8,1.0
bị,8,7,8,8,1.0
là căn cứ cho,8,8,7,8,1.0
khơi dậy,8,7,5,8,1.0
được khen thưởng,8,6,6,8,1.0
